tamanho,tempo,L3_bandwidth,L2_miss,flops_dp,flops_avx
32,0.00071096,35864.7258,0.3362,305.6881,44.7309
64,0.00117695,37974.6701,0.3272,586.4305,70.655
128,0.00199401,15846.4182,0.3037,810.3646,59.7488
256,0.00334096,16927.5575,0.3079,690.3715,93.5187
512,0.00713897,15235.1912,0.3345,1229.8959,146.3847
1000,0.02807295,14502.9604,0.3194,1376.8507,163.279
2000,0.03676808,13217.1696,0.3345,130.4861,41.1907
4000,0.07103801,11404.8172,0.3425,1388.6872,42.0345
8000,0.11520398,4555.3014,0.3455,1351.0581,164.9542
9000,0.12668002,11262.0565,0.3463,1477.3194,170.8897
10000,0.13720107,4885.8784,0.3543,1396.2626,178.1812
20000,0.30621803,5624.9701,0.3464,1154.5497,59.1447
