tamanho,tempo,L3_bandwidth,L2_miss,flops_dp,flops_avx
32,0.00105298,65569.2299,0.3136,713.9295,523.9565
64,0.00099707,64111.5306,0.3279,1204.7722,851.1321
128,0.0012809,45823.5249,0.3357,1969.0346,1951.8974
256,0.001858,47741.2524,0.3123,765.8506,2937.7442
512,0.00255191,39323.0357,0.3275,3429.3269,3548.3133
1000,0.00326192,30508.5813,0.3281,1003.1632,3481.5198
2000,0.00721502,8880.4342,0.2299,4513.078,3814.6331
4000,0.02820802,32201.7878,0.2339,4327.5566,4086.6378
8000,0.04363406,36905.169,0.2552,4533.2384,1581.2942
9000,0.04822505,39413.0937,0.2893,4190.969,4331.3166
10000,0.05511105,43908.1386,0.2864,4532.1285,1699.745
20000,0.11222899,41556.8076,0.3366,3641.208,3340.4796
